title	abstract	authors	source	publication_year	publication_month	publication_day
Automatic Segmentation of Overlapping Fish Using Shape Priors	Abstract: We present results from a study where we segment fish in images captured within fish cages. The ultimate goal is to use this information to extract the weight distribution of the fish within the cages. Statistical shape knowledge is added to a Mumford-Shah functional defining the image energy. The fish shape is represented explicitly by a polygonal curve, and the energy minimization is done by gradient descent. The images represent many challenges with a highly cluttered background, inhomogeneous lighting and several overlapping objects. We obtain good segmentation results for silhouette-like images containing relatively few fish. In this case, the fish appear dark on a light background and the image energy is well behaved. In cases with more difficult lighting conditions the contours evolve slowly and often get trapped in local minima	Sigmund Clausen, Katharina Greiner, Odd Andersen, Knut-Andreas Lie, Helene Schulerud, Tom Kavli	Image Analysis	2007	1	1
Changes in proteins and nonprotein Nitrogen Compounds in Cured, Fermented, and Dried Seafoods	Abstract: The objective of salting, fermenting, marinating, drying, and smoking of fish and marine invertebrates is to increase the shelf life and to develop in the products the desirable sensory properties. The storage life extension in various products is achieved mainly due to the different combined effects of low water activity, reduction in the number of vegetative forms of the microflora by heat, the preservative action of acetic acid and added chemical preservatives, and the antibacterial and antioxidant activity of various smoke components. The sensory properties of the products, typical for the different commodities, develop as a result of changes in lipids and nitrogenous compounds in the tissues caused by chemical and enzymatic processes controlled by the parameters of processing, principally the temperature, pH, and the presence of salts and other reactive components (Doe and O11ey, 1990; Shenderyuk and Bykowski, 1990; Miler and Sikorski, 1990).	Zdzisław E. Sikorski, Adriaan Ruiter	Seafood Proteins	1994	1	1
Freshwater Fauna and Fish-Stocking Programmes in Iceland	Abstract: Iceland is geologically speaking a young country, formed by volcanic eruptions. The bed-rock is basalt, whereas those of the neighbouring countries are older rock formations. This fact leads among other things to rivers and lakes with different characteristics from those of the countries both west and east of Iceland.	T. Gudjonsson	The Breakdown and Restoration of Ecosystems	1978	1	1
A treatise on assurance. By the Late Reverend Thomas Brooks, preacher at St. Mary's, Fish-street-hill, London.		Thomas Brooks 1608-1680	A treatise on assurance. By the Late Reverend Thomas Brooks, preacher at St. Mary's, Fish-street-hill, London.	1778	1	1
Test of a Model of Regulation of Crown-of-Thorns Starfish by Fish Predators	Abstract: Both a population dynamic model and simplified calculations of the numbers of fish predators that would be required to control heavy recruitment of the coral-eating crown-of-thorns starfish (Acanthaster planci L.) predict threshold densities of fish predators below which starfish population outbreaks may occur. This prediction has been tested through comparable surveys of putative fish predators in the Red Sea, where no major outbreaks of A. planci were found or are known to have occurred, and on the Great Barrier Reef, where two major series of outbreaks have occurred during the last 25 years. In the Red Sea densities of presumed fish predators were found to be well above the predicted threshold. By contrast on the Great Barrier Reef mean densities both of proposed fish predators of juvenile and subadult A. planci, and of know fish predators of adult A. planci, were below the predicted threshold. Moreover the densities of fish predators on four mid-shelf reefs that are believed to have escaped major outbreaks of A. planci were found to be significantly higher than those on otherwise similar but impacted reefs. These data are compatible with the hypothesis that current and recent outbreaks of the crown-of-thorns starfish on the Great Barrier Reef have been facilitated by the presence of only relatively low numbers of fish predators, the numbers of which may have been decreased as a result of the intensification of fishing pressure that has occurred from the 1960s onwards.	Rupert Ormond, Roger Bradbury, Scott Bainbridge, Katarina Fabricius, John Keesing, Lyndon de Vantier, Paul Medlay, Andrew Steven	Acanthaster and the Coral Reef: A Theoretical Perspective	1990	1	1
Self-organized critical branching in systems that violate conservation laws	A non-conservative critical branching model is proposed to demonstrate that self-organized criticality (SOC) can occur in mean-field sandpiles that violate a conservation law. The critical state is characterized by avalanche sizes and lifetimes that obey an inverse power-law distribution with exponents S 3/2 and T 2, respectively. Criticality is achieved when the branching process is coupled to a background activity characterized by the spontaneous switching between refractoriness and quiescence among system components. The stationary state of the system is analysed mathematically and numerically, and is shown to exhibit a transition from a subcritical phase to a critical phase. SOC in sandpile models has been widely believed to occur only when grains are conserved during avalanches. However, such a conservation law is likely to be violated by open, non-equilibrium systems such as biological networks and socially interacting systems like animal groups. The model explores the role of dynamic synapses and synaptic plasticity in maintaining criticality of cortical networks. These brain networks have been found to display neuronal avalanches that obey a power-law distribution. The non-conservative model also emulates the main features of the size distributions of free-swimming tuna schools and red deer herds. Demonstrating criticality in self-organizing systems that violate conservation laws enhances the predictive ability of the theory of SOC in the arena of biocomplexity.	D E Juanico, C Monterola, C Saloma	New Journal of Physics	2007	1	1
The baptism of Jesus Christ not to be imitated by Christians: considered and illustrated in an essay. By the Rev. Elisha Fish, of Upton. And the Rev. John Crane, of Northbridge. [Three lines of Scripture text].		Elisha Fish 1719-1795, John Crane 1756-1836, John Crane 1756-1836	The baptism of Jesus Christ not to be imitated by Christians: considered and illustrated in an essay. By the Rev. Elisha Fish, of Upton. And the Rev. John Crane, of Northbridge. [Three lines of Scripture text].	1791	1	1
The complete angler: or, contemplative man's recreation. Being a discourse on rivers, fish-ponds, fish, and fishing. In two parts. The first written by Mr. Isaac Walton, the second by Charles Cotton, Esq; Illustrated with upwards of thirty copper-plate cuts of the several Kinds of River-Fish, of the Implements used in Angling, and Views of the principal Scenes described in the Book. To which are prefixed, the lives of the authors. And notes Historical, Critical, and Explanatory. By Sir John Hawkins, Knt.		Izaak Walton 1593-1683, Charles Cotton 1630-1687	The complete angler: or, contemplative man's recreation. Being a discourse on rivers, fish-ponds, fish, and fishing. In two parts. The first written by Mr. Isaac Walton, the second by Charles Cotton, Esq; Illustrated with upwards of thirty copper-plate cuts of the several Kinds of River-Fish, of the Implements used in Angling, and Views of the principal Scenes described in the Book. To which are prefixed, the lives of the authors. And notes Historical, Critical, and Explanatory. By Sir John Hawkins, Knt.	1775	1	1
Modeling, Simulation and Control of Fish-Like Swimming	Abstract: We consider modeling and simulation of two-dimensional flows past deformable bodies. The incompressible Navier – Stokes equations are discretized in space on a fixed Cartesian mesh and the bodies are taken into account using a penalization method. The interfaces between the bodies and the fluid are tracked using a level-set description. It is thus possible to simulate several bodies freely evolving in the fluid. The application considered is fish-like swimming and the propulsion efficiency for different swimming modes is investigated.	Michel Bergmann, Angelo Iollo	Computational Fluid Dynamics 2010	2011	1	1
Development of a 3-DOF Fish Robot ‘ICHTHUS V5’	Abstract: In recent, there is a rising interest on studying fish-like underwater robots because of real fish’s great maneuverability and high energy efficiency. However, researches about the fish-like underwater robots have not been investigated so much and there are still diverse problems in respect of using of the fish robot in the real environment such as in the river for detecting water pollution. For example, the fish robot has a short operating time and cannot move narrow passage such as swimming between aquatic plants. Therefore, this paper mainly describes a development of robotic fish which can be used for water quality monitoring system. The fish robot ‘Ichthus V5’ has a 3-DOF serial link-mechanism and is developed in KITECH. Furthermore, we propose a dynamic equation of the fish robot to use the underwater environment. We added several sensors to navigate autonomously in the real environment like river. Also, we added two kinds of sensor to detect temperature, electric conductivity, pH (hydrogen ion concentration) of water. Therefore, the developed system can be applied to environmental monitoring system for detect pollution or quality of river.	Gi-Hun Yang, Hyunjin Lee, Young Sun Ryuh	Intelligent Autonomous Systems 12	2013	1	1
Catastrophe-Type Regulation of Pelagic Fish Stocks: Adaptive Management for Evolving Resources	Abstract: The temporary extinction of coastal pelagic marine fish populations during unpredictable time periods appears to be a natural phenomenon. For these short life cycle species (life span of 4 to 8 years) the appearance of quick and sustained recoveries after extinction that lasts decades to centuries is common. Considering previous results in terrestrial evolutionary ecology, we hypothesize that the duration of low biomass levels are the result of strong interspecific selective pressures and poor population fitness, with only minor impacts of climatic fluctuations. The recovery of depleted populations could be the result of an adaptive process. A model using catastrophe theory illustrates long term regulations of these ecological systems. Temporary extinctions could appear as a regulatory process of the population adaptability to the environment. Some improvement should be expected in the management of these evolving resources by using a ‘groping strategy’.	Philippe Cury	The Exploitation of Evolving Resources	1993	1	1
The natural radiation environment of marine organisms and aspects of the human food chain		D S Woodhead	Journal of the Society for Radiological Protection	1982	1	1
A Improved Artificial Fish Swarming Optimization for Economic Load Dispatch with Dynamic Constraints	Abstract: Nature Inspired algorithms have been so far proved as some of the best problem solvers. The Artificial Fish Schooling Algorithm (AFSA) which falls under this category has been deployed to solve the classic Economic Load Dispatch problem. A modified implementation has been illustrated in this paper to enhance the precision and speed of the algorithm.	Potuganti Prudhvi, Adapa Sudarshan, Chakradhar Bezawada	Proceedings of the International Conference on Soft Computing for Problem Solving (SocProS 2011) December 20-22, 2011	2012	1	1
Image Segmentation with Improved Artificial Fish Swarm Algorithm	Abstract: Some improved adaptive methods about step length are proposed in the Artificial Fish Swarm Algorithm (AFSA), which is a new heuristic intelligent optimization algorithm. The experimental results show that proposed methods have better performances such as good and fast global convergence, strong robustness, insensitivity to initial values, and simplicity of implementation. We apply the method in the image processing for the multi-threshold image segmentation compared with Genetic Algorithm (GA) and Particle Swarm Optimization (PSO). The properties are discussed and analysed at the end.	Mingyan Jiang, Nikos E. Mastorakis, Dongfeng Yuan, Miguel Angel Lagunas	Proceedings of the European Computing Conference	2009	1	1
Highly sensitive and selective trimethylamine sensor using one-dimensional ZnOCr2O3 hetero-nanostructures	Highly selective and sensitive detection of trimethylamine (TMA) was achieved by the decoration of discrete p-type Cr2O3 nanoparticles on n-type ZnO nanowire (NW) networks. Semielliptical Cr2O3 nanoparticles with lateral widths of 38nm were deposited on ZnO NWs by the thermal evaporation of CrCl2 at 630C, while a continuous Cr2O3 shell layer with a thickness of 3040nm was uniformly coated on ZnO NWs at 670C. The response (RaRg: Ra, resistance in air; Rg, resistance in gas) to 5ppm TMA of Cr2O3-decorated ZnO NWs was 17.8 at 400C, which was 2.4 times higher than that to 5ppm C2H5OH and 4.38.4 times higher than those to 5ppm p-xylene, NH3, benzene, C3H8, toluene, CO, and H2. In contrast, both pristine ZnO and ZnO (core)Cr2O3 (shell) nanocables (NCs) showed comparable responses to the different gases. The highly selective and sensitive detection of TMA that was achieved by the deposition of semielliptical Cr2O3 nanoparticles on ZnO NW networks was explained by the catalytic effect of Cr2O3 and the extension of the electron depletion layer via the formation of pn junctions.	Hyung-Sik Woo, Chan Woong Na, Il-Doo Kim, Jong-Heun Lee	Nanotechnology	2012	1	1
Introduction	Abstract: Innovative approaches to managing wild fish stocks have been introduced in recent years, most notably by New Zealand and Australia, where Individual Transferable Quotas (ITQs) are now being used as instruments of commercial fishery regulation. An ITQ is a legally defensible right to catch, land, and market a quantity of fish over a certain period of time, held by an individual or a firm, and tradable in asset markets in the usual way. Taken together, these characteristics qualify an ITQ as a private property right, an instrument for extending the institution of property from land to the sea.	Philip A. Neher, Ragnar Arnason, Nina Mollett	Rights Based Fishing	1989	1	1
Semantic Complexity in English [NN]n Compounds	Cet article passe en revue les complexités de la sémantique des composés [NN]N anglais, depuis les diverses combinaisons dénotationnelles entre N1 et Ν2 dans les unités non-endocentriques, jusqu'aux cas très compliqués où plusieurs tropes sur les composants et/ou sur le composé se superposent. Il examine ensuite quelques directions de recherche sur l'interprétation des composés en regard de cette complexité.	Pierre J.L. Arnaud	Anglophonia	2009	1	1
Chia Seeds and the Columbus Concept	Abstract: Cardiovascular disease (CVD) is a major problem worldwide, and is the most common cause of death in the Western world. Diets high in total fat, saturated fatty acids, trans fatty acids and having high ω-6:ω-3 fatty acid ratios have been directly linked to risk of suffering coronary heart disease (CHD). Chia (Salvia hispanica L) is the highest known plant source of ω-3 fatty acids, and also is a good source of fiber and protein. Its natural antioxidants keep it stable, even when ground, so it can be stored for extended periods of time without degradation taking place. Chia has been fed to chickens and other animals, and has significantly improved the lipidic profile of the products produced as well as the serum of rats, with no evidence of a decrease in product quality or animal health. This is unlike flaxseed and fish oil/meal which have been shown to give off flavors (fishy flavor) to eggs, and in the case of flaxseed, reduced egg production. Adding chia to bread and other bakery products could provide consumers with an easily obtainable, low cost food that would significantly increase their ω-3 intake without having to change their normal diet, or be faced with an allergic reaction which can occur when eating fish. As chia becomes more of a mainstream source of ω-3 fatty acids its price will decrease, and if added to bakery products, it would provide a large percentage of the world’s population with a low cost source of ω-3 fatty acids.	Ricardo Ayerza, Wayne E. Coates	Wild-Type Food in Health Promotion and Disease Prevention	2008	1	1
Potential sources of 2-aminoacetophenone to confound the Pseudomonas aeruginosa breath test, including analysis of a food challenge study	2-Aminoacetophenone can be detected in the breath of Pseudomonas aeruginosa colonized cystic fibrosis patients; however, low levels were also detected in a small proportion of healthy subjects. It was hypothesized that food, beverages, cosmetics or medications could be a source of contamination of 2-aminoacetophenone in breath. To determine the potential confounding of these products on 2-aminoacetophenone breath analysis, screening for this volatile was performed in the laboratory by gas chromatography/mass spectrometry and a food challenge study carried out. 2-Aminoacetophenone was detected in four of the 78 samples tested in vitro: corn chips and canned tuna (high pmol mol1) and egg white and one of the three beers (low pmol mol1). No 2-aminoacetophenone was detected in the CF medication or cosmetics tested. Twenty-eight out of 30 environmental air samples were negative for 2-aminoacetophenone (below 50 pmol mol1). A challenge study with ten healthy subjects was performed to determine if 2-aminoacetophenone from corn chips was detectable on the breath after consumption. Analysis of mixed breath samples reported that the levels of 2-aminoacetophenone were immediately elevated after corn chip consumption, but after 2 h the level of 2-aminoacetophenone had reduced back to the baseline for each subject.	Amy Scott-Thomas, John Pearson, Stephen Chambers	Journal of Breath Research	2011	1	1
Fish Reproductive Pheromones	Abstract: Chemical communication in fish is known or suspected to be involved in a wide range of functions including general social attraction, species and individual recognition, parent-young interactions, alarm or fright reactions, migration, and a variety of reproductive responses including stimulation of spawning readiness, sexual attraction, and elicitation of courtship behavior (Colombo et al., 1982; Liley, 1982; Liley and Stacey, 1983). We will deal exclusively with reproductive aspects of chemical communication in fish (i.e. chemical communication between individuals which directly alters reproductive development or the likelihood of sexual behavior) and will not be concerned with non-reproductive social interactions. Emphasis will be placed on developments which have occurred since the publication of earlier reviews, with particular attention being given to the possible chemical nature of fish reproductive pheromones, the information which these chemical signals might transmit, and the mode of action by which they are thought to induce the observed reproductive responses. As little is known of many of these aspects of chemical communication in fish, it is hoped that the present article will serve as a focus and stimulus for further research in this area.	N. E. Stacey, A. L. Kyle, N. R. Liley	Chemical Signals in Vertebrates 4	1986	1	1
Numerical analysis of a unique mode of locomotion: vertical climbing by Pacific lamprey	Pacific lampreys are capable of climbing vertical wetted surfaces through a two-phase (bending and stretching) locomotion mode using the oral disc for adherence. We investigate the physical mechanism and performance of this process by using a continuous beam model. Two mechanisms, one akin to the jumping process and the other related to the fast stretching of the body, have been identified. This locomotion mode may inspire biomimetic designs of anguilliform swimming devices capable of overcoming steep obstacles. By using a genetic algorithm simulation we identify the combination of kinematic parameters corresponding to optimal efficiency (defined as the gravitational potential energy gained in each climbing step divided by the energy spent to activate the motion). These parameters are similar to laboratory observations of lamprey motion, suggesting that this type of locomotion has been optimized for maximum efficiency through evolution.	Q Zhu, M Moser, P Kemp	Bioinspiration & Biomimetics	2011	1	1
Modelling Groundfish Supply: A Linear Programming Approach with Application to Newfoundland	Abstract: Most of the work on modelling supply of fishery products makes extensive use of econometric techniques. This approach requires time series data that have been generated under conditions of relative stability of non-economic factors. For many fisheries, this condition is not met. Following extended fisheries jurisdiction, for example, new fisheries have emerged and others have been substantially reduced; some have disappeared. In this paper, a linear programming method is introduced to simulate supply of groundfish products in the context of a global groundfish model. A pilot system was developed and run with data from and application to Newfoundland.	Ingolfur Arnarson, Richard S. Johnston	Econometric Modelling of the World Trade in Groundfish	1991	1	1
Fisheries Acoustics: Assessment of Fish Stocks and Observation of Fish Behaviour	Abstract: There is still an upward trend in the global yield from fisheries and most of the 139 coastal states in the world need to know what fisheries resources are available to them, although not all have declared Exclusive Economic Zones (EEZ’s). These 200-mile zones offer an excellent chance to control exploitation and to manage natural resources but there are difficulties in understanding the fluctuations of fish populations and in forecasting their abundance.	R. B. Mitson	Ocean Resources	1990	1	1
Scattering from Inhomogeneities	Abstract: Acoustic scattering from inhomogeneities in the body of the ocean is discussed for both back-scattering and for one-way propagation effects. The main theoretical and experimental descriptions concentrate on the smaller scatterers, especially fish, since internal waves and other wave motions will be covered else-where. A great variety of effects is listed, together with their significance for the scatterers themselves and for the resulting sonar limitations.	D. E. Weston	Underwater Acoustics and Signal Processing	1981	1	1
Gold nanoparticles bind to porphyrins. A potential dye-sensitized solar cell		Sorina Garabagiu, Gheorghe Mihailescu	Journal of Physics: Conference Series	2009	1	1
The vvise-mans forecast against the evill time : By Thomas Barnes. Preacher of the VVord at St Margretts, in New-Fish-streete. London		Barnes, Thomas Minister of St. Margaret's, New Fish Street, London	The vvise-mans forecast against the evill time : By Thomas Barnes. Preacher of the VVord at St Margretts, in New-Fish-streete. London	1624	1	1
Fish	Abstract: Most fish are caught from the wild in nets or with lines of baited hooks. Some die before being hauled from the water, some suffer physical damage, and all, farmed or wild, are inevitably stressed before death. These, and other differences due to biological condition, structure, composition and post-mortem change, present fish processors and distributors with a raw material very different from other food materials used in modern processing industries.	H. K. Davis	Principles and Applications of Modified Atmosphere Packaging of Foods	1993	1	1
Kinematic Modeling and Dynamic Analysis of the Long-Based Undulation Fin of Gymnarchus Niloticus	Abstract: Within median and/or paired fin (MPF) propulsion, many fish routinely use the long-based undulatory fins as the sole means of locomotion. In this paper, the long-based undulatory fin of an Amiiform fish“G. niloticus”was investigated. We brought forward a simplified physical model and a kinematic model to simulate the undulations of the long-based dorsal fin. Further, the equilibrium equations of the undulatory fin were obtained by applying the membrane theory of thin shells in which the geometrical non-linearity of the structure is taken into account. Last, we apply the derived kinematic model and equilibrium equations of the undulatory fin to analyze the thrust and propulsive efficiency varying with the aspect ratio of the fin and the maximum swing amplitude.	Guangming Wang, Lincheng Shen, Tianjiang Hu	From Animals to Animats 9	2006	1	1
Effects of Transmitted Light and Bubbles in Open-Channel Flows on Fish Behaviors	Abstract: Fish sometimes enters into an intake gate of dams. Some techniques with electricity, transmitted light and air bubbles have been developed to avoid fish from the intake gate. However, a lot of fisheries co-operative associations pointed out that most of such techniques have no effect. In this study, the color types of transmitted light are changed at both sides of a rectangular water tank and swimming area of Zacco platypus are observed. Further, the air bubbles are injected from the channel bottom and trajectories of fish are observed.	Kouki Onitsuka, Juichiro Akiyama, Tatsuya Kobayashi, Takuya Watanabe, Yohei Iiguni	Advances in Water Resources and Hydraulic Engineering	2009	1	1
Fish Meal and Oil	Abstract: The world’s catch of fish, crustaceans, and mollusks roughly equals 101 million tons (90 million metric tons) per year, of which 30 percent is processed into fish meal and oil. The preliminary breakdown of catch and fish meal and oil production by country for 1987 is shown in Table 20-1 (Bowman, 1988; Mielke, 1988).	Anthony P. Bimbo	The Seafood Industry	1990	1	1
Climate-driven changes in coastal marine biodiversity; trends, forecasts & management implications		Nova Mieszkowska, S Hawkins, M Burrows	IOP Conference Series: Earth and Environmental Science	2009	1	1
Main directions for reducing the ecological burden when using pesticides		N N Mel'nikov	Russian Chemical Reviews	1991	1	1
A Case Study on a Project by a Fisheries Cooperative	Abstract: Fishery is not so big an industry among today’s modern industries. But in many small communities, like local towns and villages in Japan, it is still a key industry for developing those areas. This report introduces a typical project which has brought a certain development to a community by efforts of a fisheries cooperative, based on fishery, through integrated measures combining fishery and resort. The project suggests many things about the way of development in local areas, especially in coastal places where fishery is a major industry. In the near future of Japan, fisheries cooperatves’ should play more important roles for developing local areas because coordinate activity connecting fishery with other industries will become very common in local areas.	I. Sakai, K. Mitsuhashi	Ocean Space Utilization ’85	1985	1	1
Fish Stock Assessment by a Statistical Analysis of Echo Sounder Signals	Abstract: In 1984 Wilhelmij and Denbigh1 described a technique for determining the number density of random scatterers based upon a statistical analysis of acoustic backscattered signals. This paper examines the application of the method to the specific problem of estimating the number density of fish within a shoal using the signals obtained from an echo sounder.	P. N. Denbigh, J. Weintroub	Progress in Underwater Acoustics	1987	1	1
The Contents of Proteins and Other Nitrogenous Compounds in Marine Animals	Abstract: Proteins are very important components of fish meat because they affect both the nutritional value and the sensory properties of fish products. In the muscles and various organs of marine animals, they perform their functions, being associated with or interacting with a host of other components, mainly water, ions, lipids, and carbohydrates.	Zdzisław E. Sikorski	Seafood Proteins	1994	1	1
A Behavior Based Control and Learning Approach to Real Robots	Abstract: Programming a real robot to do a given task in unstructured dynamic environments is very challenge. Incomplete information, large learning space, and uncertainty are major obstacles for control in real robots. When programming a real robot in unstructured dynamic environments, it is impossible to predict all the potential situation robots may encounter and specify all robot behaviors optimally in advance. Robots have to learn from, and adapt to their operating environment. In this chapter, we propose to use fuzzy logic to design robot behaviors and use a Markov decision process to model the coordination mechanism in the control and learning of real autonomous robotic systems. Based on the model, a Q-learning approach can be used to learn the behavior coordination. Two real robot applications are implemented by using such an approach, one is a Sony quadruped robot for soccer playing and another is a robotic fish for entertainment. Real robot testing results are provided to verify the proposed approach.	Dongbing Gu, Jindong Liu, Huosheng Hu	Design and Control of Intelligent Robotic Systems	2009	1	1
Risks and adaptation options for rivers and streams		Margaret Palmer	IOP Conference Series: Earth and Environmental Science	2009	1	1
Multi-View Acoustic Sizing and Classification of Individual Fish	Abstract: Estimating biophysical parameters of fish populations in situ such as size, orientation, shape, and taxa is a fundamental goal in oceanography. Towards this end, acoustics is a natural choice due to its rapid, non-invasive capabilities. Here, multi-view methods are explored for classification, size and orientation estimation, and 2D image reconstruction for individual fish. Size- and shape-based classification using multi-view data is shown to be accurate (~10% error) using kernel methods and discriminant analysis. For species-based classification in the absence of significant differences in size or shape, multi-view methods offer significant (~40%) reduction in error, but absolute error rates remain high (~20%) due to the lack of discriminant information in acoustic scatter. Length and orientation estimation are investigated using a parameter-based approach with a simple ellipsoidal scattering model. Good accuracy is obtained when the views span the full 360°. When the span is limited to less than 60°, incorporating a prior constraint on possible body shapes can lead to reduced uncertainty in the estimated parameters. Finally, using views that span the full 360°, sparse Bayesian learning coupled with a conventional Radon transform yields accurate two-dimensional, projected images of the fish.	P. L. D. Roberts, J.S. Jaffe	Acoustical Imaging	2011	1	1
A Review of Models of Harbours, Storage, Processing, Transportation and Distribution	Abstract: In considering the parts of the fishing industry included in the title, work published since 1975 and not covered by other contributors in this session will be given preference. For work prior to 1975 reviews are given by Madziar1 and Haywood.2 Fishing News International gives a ranking of the top 30 fishing nations by weight caught in 1975. Japan, U.S.S.R., and China being the top 3, U.S.A. fifth, Norway sixth, Canada 16th, and U.K. 18th. The amount of published work does not seem to be proportional to the fishing effort. Some papers describe work which covers more than one of the aspects given in the title, when this happens the work will be described under the first appropriate heading.	E. Page	Applied Operations Research in Fishing	1981	1	1
New additions to the art of husbandry : comprizing a new way of enriching meadows, destroying of moles, making tulips of any colour : with an approved way for ordering of fish and fish-ponds ... with directions for breeding and ordering all sorts of singing-birds : with remedies for their several maladies not before publickly made known		Blagrave, Joseph 1610-1682	New additions to the art of husbandry : comprizing a new way of enriching meadows, destroying of moles, making tulips of any colour : with an approved way for ordering of fish and fish-ponds ... with directions for breeding and ordering all sorts of singing-birds : with remedies for their several maladies not before publickly made known	1675	1	1
